event_id,event_date,event_t0_trade_date,asset_type,asset_name,ticker_or_index,sector,geography,exposure_role,benchmark,return_window,raw_return,benchmark_return,abnormal_return,data_source,calculation_notes,coding_confidence,limitations
V2P001,2022-08-09,2022-08-09,sector_etf,VanEck Semiconductor ETF,SMH,semiconductors,US,sector_proxy,SPY,t0,-0.04185287,-0.00397091,-0.03788196,Yahoo Finance chart endpoint; asset=SMH; benchmark=SPY; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window t0: asset 2022-08-08 to 2022-08-09; benchmark 2022-08-08 to 2022-08-09; t0 is first trading day on or after event date.,medium,Broad policy event; CHIPS Act was highly anticipated and event-window interpretation may be muted or confounded.
V2P001,2022-08-09,2022-08-09,sector_etf,VanEck Semiconductor ETF,SMH,semiconductors,US,sector_proxy,SPY,m3_p3,0.01050154,0.03052230,-0.02002077,Yahoo Finance chart endpoint; asset=SMH; benchmark=SPY; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window m3_p3: asset 2022-08-03 to 2022-08-12; benchmark 2022-08-03 to 2022-08-12; t0 is first trading day on or after event date.,medium,Broad policy event; CHIPS Act was highly anticipated and event-window interpretation may be muted or confounded.
V2P002,2022-10-07,2022-10-07,sector_etf,VanEck Semiconductor ETF,SMH,semiconductors,US,sector_proxy,SPY,t0,-0.05963300,-0.02789358,-0.03173941,Yahoo Finance chart endpoint; asset=SMH; benchmark=SPY; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window t0: asset 2022-10-06 to 2022-10-07; benchmark 2022-10-06 to 2022-10-07; t0 is first trading day on or after event date.,high,Rule includes multiple technical provisions; sector proxy does not isolate constrained firms from substitutes.
V2P002,2022-10-07,2022-10-07,sector_etf,VanEck Semiconductor ETF,SMH,semiconductors,US,sector_proxy,SPY,m3_p3,-0.08484552,-0.02741328,-0.05743225,Yahoo Finance chart endpoint; asset=SMH; benchmark=SPY; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window m3_p3: asset 2022-10-03 to 2022-10-12; benchmark 2022-10-03 to 2022-10-12; t0 is first trading day on or after event date.,high,Rule includes multiple technical provisions; sector proxy does not isolate constrained firms from substitutes.
V2P003,2022-12-15,2022-12-15,single_equity,Micron Technology Inc.,MU,memory_chips,US,substitute,SMH,t0,-0.04671193,-0.03807484,-0.00863709,Yahoo Finance chart endpoint; asset=MU; benchmark=SMH; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window t0: asset 2022-12-14 to 2022-12-15; benchmark 2022-12-14 to 2022-12-15; t0 is first trading day on or after event date.,medium,"YMTC is not directly represented by a public US ticker; Micron is a memory peer/substitute proxy, not the named target."
V2P003,2022-12-15,2022-12-15,single_equity,Micron Technology Inc.,MU,memory_chips,US,substitute,SMH,m3_p3,-0.07636241,-0.04553261,-0.03082980,Yahoo Finance chart endpoint; asset=MU; benchmark=SMH; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window m3_p3: asset 2022-12-09 to 2022-12-20; benchmark 2022-12-09 to 2022-12-20; t0 is first trading day on or after event date.,medium,"YMTC is not directly represented by a public US ticker; Micron is a memory peer/substitute proxy, not the named target."
V2P006,2023-07-03,2023-07-03,sector_etf,iShares MSCI Global Metals & Mining Producers ETF,PICK,critical_minerals,global,commodity_proxy,SPY,t0,0.01532395,0.00115044,0.01417351,Yahoo Finance chart endpoint; asset=PICK; benchmark=SPY; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window t0: asset 2023-06-30 to 2023-07-03; benchmark 2023-06-30 to 2023-07-03; t0 is first trading day on or after event date.,medium,PICK is an imperfect broad metals/mining proxy and does not isolate gallium or germanium exposure.
V2P006,2023-07-03,2023-07-03,sector_etf,iShares MSCI Global Metals & Mining Producers ETF,PICK,critical_minerals,global,commodity_proxy,SPY,m3_p3,-0.01085074,0.00545634,-0.01630708,Yahoo Finance chart endpoint; asset=PICK; benchmark=SPY; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window m3_p3: asset 2023-06-27 to 2023-07-07; benchmark 2023-06-27 to 2023-07-07; t0 is first trading day on or after event date.,medium,PICK is an imperfect broad metals/mining proxy and does not isolate gallium or germanium exposure.
V2P007,2023-08-09,2023-08-09,index,Invesco QQQ Trust,QQQ,technology,US,sector_proxy,SPY,t0,-0.01099471,-0.00668524,-0.00430947,Yahoo Finance chart endpoint; asset=QQQ; benchmark=SPY; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window t0: asset 2023-08-08 to 2023-08-09; benchmark 2023-08-08 to 2023-08-09; t0 is first trading day on or after event date.,medium,Executive order was a policy framework; market reaction may reflect anticipation and broader macro/tech conditions.
V2P007,2023-08-09,2023-08-09,index,Invesco QQQ Trust,QQQ,technology,US,sector_proxy,SPY,m3_p3,-0.00920301,-0.00162648,-0.00757653,Yahoo Finance chart endpoint; asset=QQQ; benchmark=SPY; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window m3_p3: asset 2023-08-03 to 2023-08-14; benchmark 2023-08-03 to 2023-08-14; t0 is first trading day on or after event date.,medium,Executive order was a policy framework; market reaction may reflect anticipation and broader macro/tech conditions.
V2P008,2023-10-17,2023-10-17,single_equity,NVIDIA Corp.,NVDA,AI chips,US,named_target,SMH,t0,-0.04679461,-0.01179284,-0.03500177,Yahoo Finance chart endpoint; asset=NVDA; benchmark=SMH; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window t0: asset 2023-10-16 to 2023-10-17; benchmark 2023-10-16 to 2023-10-17; t0 is first trading day on or after event date.,high,Named equity has firm-specific product and earnings confounds; rule details are technical.
V2P008,2023-10-17,2023-10-17,single_equity,NVIDIA Corp.,NVDA,AI chips,US,named_target,SMH,m3_p3,-0.11577575,-0.06155067,-0.05422508,Yahoo Finance chart endpoint; asset=NVDA; benchmark=SMH; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window m3_p3: asset 2023-10-11 to 2023-10-20; benchmark 2023-10-11 to 2023-10-20; t0 is first trading day on or after event date.,high,Named equity has firm-specific product and earnings confounds; rule details are technical.
V2P011,2024-04-08,2024-04-08,adr,Taiwan Semiconductor Manufacturing Co. ADR,TSM,foundry,Taiwan/US,named_beneficiary,SMH,t0,0.01011630,0.00188641,0.00822989,Yahoo Finance chart endpoint; asset=TSM; benchmark=SMH; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window t0: asset 2024-04-05 to 2024-04-08; benchmark 2024-04-05 to 2024-04-08; t0 is first trading day on or after event date.,high,Preliminary terms are firm-specific; ADR return may include Taiwan-market and company-specific factors.
V2P011,2024-04-08,2024-04-08,adr,Taiwan Semiconductor Manufacturing Co. ADR,TSM,foundry,Taiwan/US,named_beneficiary,SMH,m3_p3,0.04977872,0.01022176,0.03955697,Yahoo Finance chart endpoint; asset=TSM; benchmark=SMH; fetched=2026-06-22,Adjusted close-to-close return using Yahoo Finance chart data. Window m3_p3: asset 2024-04-02 to 2024-04-11; benchmark 2024-04-02 to 2024-04-11; t0 is first trading day on or after event date.,high,Preliminary terms are firm-specific; ADR return may include Taiwan-market and company-specific factors.
