event_id,event_name,event_date,geography,category,subcategory,trigger,strategic_significance,market_relevance,sectors_impacted,companies_impacted,historical_notes,sources,coding_notes,event_date_confidence,actor_country,target_country,event_scope,implementation_status,source_quality,analyst_caveat
V2P001,CHIPS and Science Act signed,2022-08-09,US,Industrial Policy,semiconductor_industrial_policy,legislation_signed,3,high,semiconductors;semiconductor_equipment;advanced_manufacturing,none_identified,US industrial-policy legislation to support domestic semiconductor capacity and reduce strategic supply-chain vulnerability,https://www.whitehouse.gov/briefing-room/speeches-remarks/2022/08/09/remarks-by-president-biden-at-signing-of-h-r-4346-the-chips-and-science-act-of-2022/,Included as V2 anchor event linking industrial policy to US-China strategic competition; already adjacent to V1 dataset,high,US,China,sector_wide,enacted,official,Legislation is broad and highly anticipated; market interpretation should not be reduced to a single event-day reaction
V2P002,BIS advanced computing and semiconductor manufacturing export controls,2022-10-07,US/China,Export Controls,advanced_computing_semiconductor_controls,government_rule_announcement,3,high,AI chips;semiconductors;semiconductor_equipment,none_identified,US controls targeted advanced computing items and semiconductor manufacturing capability associated with China-related strategic competition,https://www.federalregister.gov/documents/2022/10/13/2022-21658/implementation-of-additional-export-controls-certain-advanced-computing-and-semiconductor-manufacturing,Included as core export-control event; use rule announcement date as event date,high,US,China,sector_wide,announced,official,Controls include multiple technical provisions; downstream firm exposure requires separate asset coding
V2P003,YMTC and other Chinese entities added to Entity List,2022-12-15,US/China,Sanctions / Entity List,entity_list_action,entity_list_addition,3,high,memory_chips;semiconductors,YMTC,Entity-list action against Chinese technology entities including a memory-chip firm expands the named-target restriction channel,https://www.federalregister.gov/documents/2022/12/19/2022-27151/additions-and-revisions-to-the-entity-list-and-removal-from-the-unverified-list,Included as sanctions/entity-list example adjacent to existing V1 technology-restriction coverage,high,US,China,firm_specific,enacted,official,Entity List is not identical to financial sanctions; code as restriction on named technology entities
V2P004,Japan announces semiconductor-equipment export-control plan,2023-03-31,Japan/China,Export Controls,allied_semiconductor_equipment_controls,government_rule_announcement,2,medium,semiconductor_equipment;semiconductors,none_identified,Japan announced controls on semiconductor manufacturing equipment in a move relevant to allied technology-control alignment,https://www.meti.go.jp/english/press/2023/0331_001.html,Included because US-China competition often operates through allied control alignment; geography is Japan/China rather than direct US/China,high,Japan,China,sector_wide,announced,official,Allied-control event; use caution when comparing directly with US-origin controls
V2P005,China restricts Micron products in critical information infrastructure procurement,2023-05-21,China/US,Sanctions / Entity List,procurement_restriction,regulatory_security_review_result,3,high,memory_chips;semiconductors,Micron,China cybersecurity review result restricted Micron products for critical information infrastructure operators and illustrates retaliation/procurement-risk channel,http://www.cac.gov.cn/2023-05/21/c_1686348043518073.htm,Included as China-side named-company restriction in US-China technology competition,high,China,US,firm_specific,enforced,official,Procurement restriction is not a market forecast; company impact depends on exposure and implementation
V2P006,China announces gallium and germanium export controls,2023-07-03,China/US,Critical Minerals,critical_minerals_export_control,government_export_control_announcement,3,high,critical_minerals;semiconductors;defense;clean_energy,none_identified,China announced export controls on gallium and germanium items relevant to semiconductor and defense supply chains,http://www.mofcom.gov.cn/article/zwgk/gkzcfb/202307/20230703419666.shtml,Included as critical-minerals restriction adjacent to semiconductor and strategic-technology competition,high,China,multiple,sector_wide,announced,official,Direct market effect depends on material exposure and licensing implementation
V2P007,US executive order on outbound investment in sensitive technologies,2023-08-09,US/China,Strategic Investment Screening,outbound_investment_screening,executive_order,3,high,semiconductors;microelectronics;quantum;AI,none_identified,US executive order established restrictions or notification requirements for outbound investment in sensitive technologies involving countries of concern,https://www.whitehouse.gov/briefing-room/presidential-actions/2023/08/09/executive-order-on-addressing-united-states-investments-in-certain-national-security-technologies-and-products-in-countries-of-concern/,Included as strategic investment-screening anchor event; directly fits V2 pilot scope,high,US,China,sector_wide,announced,official,Executive order sets framework; final implementation details may differ
V2P008,BIS updates advanced computing and semiconductor export controls,2023-10-17,US/China,AI Chip Restrictions,advanced_ai_chip_controls,government_rule_update,3,high,AI chips;semiconductors;cloud_infrastructure,NVIDIA;AMD,US updated controls on advanced computing items and semiconductor manufacturing items to limit advanced computing capability transfer,https://www.federalregister.gov/documents/2023/10/25/2023-23055/implementation-of-additional-export-controls-certain-advanced-computing-items-supercomputer-and,Included as AI-chip restriction event and update to 2022 controls,high,US,China,sector_wide,announced,official,Named firms are exposed through product categories; event is not a recommendation or expected-return signal
V2P009,China announces graphite export controls,2023-10-20,China/US,Critical Minerals,graphite_export_control,government_export_control_announcement,2,medium,critical_minerals;batteries;electric_vehicles;defense,none_identified,China announced export controls on certain graphite items relevant to batteries and strategic supply chains,http://www.mofcom.gov.cn/article/zwgk/gkzcfb/202310/20231003447368.shtml,Included as critical-minerals and battery-supply-chain example within US-China strategic competition,high,China,multiple,sector_wide,announced,official,Graphite controls affect broader battery supply chains and are less semiconductor-adjacent than gallium/germanium
V2P010,China restricts export of rare-earth processing technology,2023-12-21,China/US,Critical Minerals,rare_earth_processing_technology_restriction,technology_export_restriction,3,medium,critical_minerals;clean_energy;defense;industrial_inputs,none_identified,China restricted export of rare-earth extraction and processing technology in a strategic minerals context,https://www.reuters.com/markets/commodities/china-bans-export-rare-earths-processing-technologies-2023-12-21/,Included as strategic critical-minerals technology-control event; source is major media because official catalog sourcing is harder to normalize,medium,China,multiple,sector_wide,enacted,major_media,Use source caveat; event coding should be reviewed against official catalog before production use
V2P011,TSMC Arizona CHIPS preliminary terms announced,2024-04-08,US/Taiwan/China,Supply Chain Relocation,strategic_fab_relocation_support,government_preliminary_terms,3,high,semiconductors;foundry;advanced_manufacturing,TSMC,US preliminary CHIPS Act terms with TSMC Arizona support supply-chain relocation and domestic advanced-node capacity,https://www.commerce.gov/news/press-releases/2024/04/biden-harris-administration-announces-preliminary-terms-tsmc-arizona,Included as supply-chain relocation and industrial-capacity case adjacent to V1 semiconductor support events,high,US,China,firm_specific,preliminary,official,Support terms are preliminary and firm-specific; avoid generalizing to all supply-chain relocation
V2P012,China semiconductor Big Fund III registered,2024-05-24,China/US,Industrial Policy,state_semiconductor_fund,industrial_policy_fund_registration,3,high,semiconductors;semiconductor_equipment;advanced_manufacturing,none_identified,China registered a large third semiconductor investment fund to support domestic chip capability,https://www.reuters.com/technology/china-sets-up-third-fund-boost-semiconductor-sector-2024-05-27/,Included as China-side industrial-policy counterpart to US semiconductor support; source is major media for registration report,medium,China,US,sector_wide,announced,major_media,Review official registration documents before production coding; market channel is strategic capacity rather than immediate firm event
V2P013,China launches Taiwan-related military drills after inauguration period,2024-05-23,Taiwan Strait,US-China Strategic Competition Pilot Dataset,taiwan_related_tension,military_exercise,2,medium,semiconductors;shipping;defense;regional_equities,none_identified,China military drills around Taiwan created geopolitical tension relevant to semiconductor supply-chain and regional-risk analysis,https://www.reuters.com/world/asia-pacific/china-starts-two-days-drills-around-taiwan-state-media-says-2024-05-23/,Included only as one Taiwan-related tension subcategory within broader US-China competition pilot,medium,China,Taiwan,regional,active,major_media,Do not frame this pilot as Taiwan-focused; event does not create direct market-reaction evidence without separate asset coding
V2P014,US Treasury finalizes outbound investment rule for China-related technologies,2024-10-28,US/China,Strategic Investment Screening,outbound_investment_final_rule,final_rule,3,high,semiconductors;microelectronics;AI;quantum,none_identified,US Treasury issued final regulations implementing outbound investment restrictions and notification requirements for certain technologies involving countries of concern,https://home.treasury.gov/news/press-releases/jy2687,Included as implementation follow-through for strategic investment screening; related to V2P007,high,US,China,sector_wide,enacted,official,Potential duplicate relationship with executive order should be tracked as implementation milestone rather than separate policy family
V2P015,BIS announces controls on advanced computing and semiconductor manufacturing items including HBM,2024-12-02,US/China,AI Chip Restrictions,hbm_and_advanced_computing_controls,government_rule_update,3,high,AI chips;semiconductors;memory_chips;semiconductor_equipment,none_identified,US announced additional controls on advanced computing and semiconductor manufacturing items including high-bandwidth memory relevant to AI systems,https://www.bis.gov/press-release/commerce-strengthens-export-controls-restrict-chinas-capability-produce-advanced-semiconductors,Included as newer AI-chip and semiconductor-manufacturing restriction for future V2 expansion; not wired into V1 workflow,high,US,China,sector_wide,announced,official,Check final rule text before production use; current row is pilot evidence for schema-governed expansion
